USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  45544 23104 ?        Ss   09:55   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize=47 rhgb
root           2  0.0  0.0      0     0 ?        S    09:55   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    09:55   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-mm_percpu_wq]
root          15  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/0]
root          16  0.0  0.0      0     0 ?        I    09:55   0:01 [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    09:55   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          18  0.0  0.0      0     0 ?        S    09:55   0:00 [rcu_exp_gp_kthread_worker]
root          19  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/0]
root          20  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/1]
root          23  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/1]
root          24  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/1]
root          25  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/1]
root          27  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/1:0H-events_highpri]
root          28  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/2]
root          29  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/2]
root          30  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/2]
root          31  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/2:0H-events_highpri]
root          34  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/3]
root          35  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/3]
root          36  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/3]
root          37  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/3:0H-events_highpri]
root          40  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/4]
root          41  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/4]
root          42  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/4]
root          43  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/4]
root          45  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/4:0H-events_highpri]
root          46  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/5]
root          47  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/5]
root          48  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/5]
root          49  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/5]
root          51  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/5:0H-events_highpri]
root          52  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/6]
root          53  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/6]
root          54  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/6]
root          55  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/6]
root          57  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/6:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    09:55   0:00 [cpuhp/7]
root          59  0.0  0.0      0     0 ?        S    09:55   0:00 [idle_inject/7]
root          60  0.0  0.0      0     0 ?        S    09:55   0:00 [migration/7]
root          61  0.0  0.0      0     0 ?        S    09:55   0:00 [ksoftirqd/7]
root          63  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/7:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    09:55   0:00 [kdevtmpfs]
root          65  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-inet_frag_wq]
root          66  0.0  0.0      0     0 ?        I    09:55   0:00 [rcu_tasks_kthread]
root          67  0.0  0.0      0     0 ?        I    09:55   0:00 [rcu_tasks_rude_kthread]
root          68  0.0  0.0      0     0 ?        I    09:55   0:00 [rcu_tasks_trace_kthread]
root          69  0.0  0.0      0     0 ?        S    09:55   0:00 [kauditd]
root          70  0.0  0.0      0     0 ?        S    09:55   0:00 [oom_reaper]
root          72  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-writeback]
root          73  0.0  0.0      0     0 ?        S    09:55   0:00 [kcompactd0]
root          74  0.0  0.0      0     0 ?        SN   09:55   0:00 [ksmd]
root          75  0.0  0.0      0     0 ?        SN   09:55   0:00 [khugepaged]
root          76  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kblockd]
root          77  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-blkcg_punt_bio]
root          78  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kintegrityd]
root          80  0.3  0.0      0     0 ?        S    09:55   0:09 [irq/9-acpi]
root          82  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-tpm_dev_wq]
root          84  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ata_sff]
root          85  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-md_bitmap]
root          86  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-md]
root          87  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-edac-poller]
root          88  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-devfreq_wq]
root          90  0.0  0.0      0     0 ?        S    09:55   0:00 [watchdogd]
root          92  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-quota_events_unbound]
root          93  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/6:1H-i915_cleanup]
root          95  0.0  0.0      0     0 ?        S    09:55   0:00 [kswapd0]
root          96  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-cryptd]
root         100  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kthrotld]
root         101  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-acpi_thermal_pm]
root         102  0.0  0.0      0     0 ?        I    09:55   0:01 [kworker/u32:3-kcryptd-252:0-1]
root         103  0.0  0.0      0     0 ?        S    09:55   0:00 [hwrng]
root         109  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-dm_bufio_cache]
root         110  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-mld]
root         111  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ipv6_addrconf]
root         112  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/4:1H-i915_cleanup]
root         113  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kstrp]
root         199  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/3:1H-i915_cleanup]
root         200  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/5:1H-i915_cleanup]
root         242  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/0:1H-kblockd]
root         244  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/1:1H-i915_cleanup]
root         249  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/7:1H-kblockd]
root         250  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/2:1H-kblockd]
root         494  0.0  0.0      0     0 ?        S    09:55   0:02 [irq/35-DELL09E8:00]
root         505  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-wq]
root         506  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-reset-wq]
root         507  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-delete-wq]
root         508  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-nvme-auth-wq]
root         511  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-uas]
root         513  0.0  0.0      0     0 ?        S    09:55   0:00 [scsi_eh_0]
root         514  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-scsi_tmf_0]
root         515  0.0  0.0      0     0 ?        S    09:55   0:00 [usb-storage]
root         524  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-USBC000:00-con1]
root         528  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ttm]
root         529  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ttm]
root         532  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc0]
root         533  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc1]
root         534  0.0  0.0      0     0 ?        S    09:55   0:00 [card2-crtc2]
root         803  0.0  0.0      0     0 ?        S    09:55   0:00 [scsi_eh_1]
root         804  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-scsi_tmf_1]
root        1003  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kdmflush/252:0]
root        1004  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kcryptd_io-252:0-1]
root        1005  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-kcryptd-252:0-1]
root        1006  0.0  0.0      0     0 ?        S    09:55   0:00 [dmcrypt_write/252:0]
root        1029  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-worker]
root        1030  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-delalloc]
root        1031  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-flush_delalloc]
root        1032  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-cache]
root        1033  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-fixup]
root        1034  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio]
root        1035  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio-meta]
root        1036  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-rmw]
root        1037  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-endio-write]
root        1038  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-freespace-write]
root        1039  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-delayed-meta]
root        1040  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-btrfs-qgroup-rescan]
root        1041  0.0  0.0      0     0 ?        S    09:55   0:00 [btrfs-cleaner]
root        1042  0.0  0.0      0     0 ?        S    09:55   0:01 [btrfs-transaction]
root        1071  0.0  0.0      0     0 ?        I    09:55   0:01 [kworker/u32:5-btrfs-endio-meta]
root        1078  0.0  0.0      0     0 ?        I    09:55   0:02 [kworker/u32:7-btrfs-endio-meta]
root        1126  0.0  0.0      0     0 ?        S    09:55   0:00 [psimon]
root        1138  0.0  0.1 116732 24396 ?        Ss   09:55   0:01 /usr/lib/systemd/systemd-journald
root        1169  0.0  0.0  16608  7080 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-userdbd
root        1172  0.0  0.0      0     0 ?        I    09:55   0:00 [kworker/u32:10-btrfs-delalloc]
root        1173  0.0  0.0      0     0 ?        I    09:55   0:02 [kworker/u32:11-btrfs-endio]
root        1183  0.0  0.1  41560 16332 ?        Ss   09:55   0:00 /usr/lib/systemd/systemd-udevd
root        1187  0.0  0.0      0     0 ?        S    09:55   0:00 [psimon]
root        1268  0.0  0.0      0     0 ?        S    09:55   0:00 [irq/150-mei_me]
root        1270  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-cfg80211]
root        1273  0.1  0.0      0     0 ?        I<   09:55   0:04 [kworker/u33:1-i915_flip]
root        1277  0.0  0.0      0     0 ?        S    09:55   0:00 [jbd2/nvme0n1p7-8]
root        1278  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ext4-rsv-conversion]
root        1305  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_wq]
root        1306  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_aux_wq]
root        1308  0.0  0.0      0     0 ?        I<   09:55   0:00 [kworker/R-ath10k_tx_complete_wq]
systemd+    1363  0.0  0.1  25260 17284 ?        Ss   09:55   0:01 /usr/lib/systemd/systemd-resolved
root        1366  0.0  0.0  21100  3636 ?        S<sl 09:55   0:00 /usr/bin/auditd
dbus        1403  0.0  0.0   9624  5044 ?        Ss   09:55   0:00 /usr/bin/dbus-broker-launch --scope system --audit
